_type,url,date,content,renderedContent,id,replyCount,retweetCount,likeCount,quoteCount,conversationId,lang,source,sourceUrl,sourceLabel,outlinks,tcooutlinks,media,retweetedTweet,quotedTweet,inReplyToTweetId,mentionedUsers,hashtags,cashtags,user._type,user.username,user.id,user.displayname,user.description,user.rawDescription,user.descriptionUrls,user.verified,user.created,user.followersCount,user.friendsCount,user.statusesCount,user.favouritesCount,user.listedCount,user.mediaCount,user.location,user.protected,user.linkUrl,user.linkTcourl,user.profileImageUrl,user.profileBannerUrl,user.url,inReplyToUser._type,inReplyToUser.username,inReplyToUser.id,inReplyToUser.displayname,inReplyToUser.description,inReplyToUser.rawDescription,inReplyToUser.descriptionUrls,inReplyToUser.verified,inReplyToUser.created,inReplyToUser.followersCount,inReplyToUser.friendsCount,inReplyToUser.statusesCount,inReplyToUser.favouritesCount,inReplyToUser.listedCount,inReplyToUser.mediaCount,inReplyToUser.location,inReplyToUser.protected,inReplyToUser.linkUrl,inReplyToUser.linkTcourl,inReplyToUser.profileImageUrl,inReplyToUser.profileBannerUrl,inReplyToUser.url,coordinates._type,coordinates.longitude,coordinates.latitude,place._type,place.fullName,place.name,place.type,place.country,place.countryCode,inReplyToUser,quotedTweet._type,quotedTweet.url,quotedTweet.date,quotedTweet.content,quotedTweet.renderedContent,quotedTweet.id,quotedTweet.user._type,quotedTweet.user.username,quotedTweet.user.id,quotedTweet.user.displayname,quotedTweet.user.description,quotedTweet.user.rawDescription,quotedTweet.user.descriptionUrls,quotedTweet.user.verified,quotedTweet.user.created,quotedTweet.user.followersCount,quotedTweet.user.friendsCount,quotedTweet.user.statusesCount,quotedTweet.user.favouritesCount,quotedTweet.user.listedCount,quotedTweet.user.mediaCount,quotedTweet.user.location,quotedTweet.user.protected,quotedTweet.user.linkUrl,quotedTweet.user.linkTcourl,quotedTweet.user.profileImageUrl,quotedTweet.user.profileBannerUrl,quotedTweet.user.url,quotedTweet.replyCount,quotedTweet.retweetCount,quotedTweet.likeCount,quotedTweet.quoteCount,quotedTweet.conversationId,quotedTweet.lang,quotedTweet.source,quotedTweet.sourceUrl,quotedTweet.sourceLabel,quotedTweet.outlinks,quotedTweet.tcooutlinks,quotedTweet.media,quotedTweet.retweetedTweet,quotedTweet.quotedTweet,quotedTweet.inReplyToTweetId,quotedTweet.inReplyToUser,quotedTweet.mentionedUsers,quotedTweet.coordinates,quotedTweet.place,quotedTweet.hashtags,quotedTweet.cashtags,quotedTweet.coordinates._type,quotedTweet.coordinates.longitude,quotedTweet.coordinates.latitude,quotedTweet.place._type,quotedTweet.place.fullName,quotedTweet.place.name,quotedTweet.place.type,quotedTweet.place.country,quotedTweet.place.countryCode,quotedTweet.inReplyToUser._type,quotedTweet.inReplyToUser.username,quotedTweet.inReplyToUser.id,quotedTweet.inReplyToUser.displayname,quotedTweet.inReplyToUser.description,quotedTweet.inReplyToUser.rawDescription,quotedTweet.inReplyToUser.descriptionUrls,quotedTweet.inReplyToUser.verified,quotedTweet.inReplyToUser.created,quotedTweet.inReplyToUser.followersCount,quotedTweet.inReplyToUser.friendsCount,quotedTweet.inReplyToUser.statusesCount,quotedTweet.inReplyToUser.favouritesCount,quotedTweet.inReplyToUser.listedCount,quotedTweet.inReplyToUser.mediaCount,quotedTweet.inReplyToUser.location,quotedTweet.inReplyToUser.protected,quotedTweet.inReplyToUser.linkUrl,quotedTweet.inReplyToUser.linkTcourl,quotedTweet.inReplyToUser.profileImageUrl,quotedTweet.inReplyToUser.profileBannerUrl,quotedTweet.inReplyToUser.url
snscrape.modules.twitter.Tweet,https://twitter.com/tgwtst/status/1430589543225331716,2021-08-25T17:55:00+00:00,@kelvin_orton_F Since they are allowing dine in... Might as well allow it to be open long hours,@kelvin_orton_F Since they are allowing dine in... Might as well allow it to be open long hours,1430589543225331716,0,0,0,0,1430585179861442564,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,,,,,,1.4305851798614426e+18,"[{'_type': 'snscrape.modules.twitter.User', 'username': 'kelvin_orton_F', 'id': 1085326321, 'displayname': 'Vinith', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/kelvin_orton_F'}]",,,snscrape.modules.twitter.User,tgwtst,1182193352,🏴Theguywiththestartattoo🏴,,,,False,2013-02-15T11:36:53+00:00,2079,852,93876,61740,8,10030,,False,https://www.instagram.com/theguywiththestartattoo/,https://t.co/VLh13WgI5Z,https://pbs.twimg.com/profile_images/1411301309865611272/ND7rdFj4_normal.jpg,https://pbs.twimg.com/profile_banners/1182193352/1582050828,https://twitter.com/tgwtst,snscrape.modules.twitter.User,kelvin_orton_F,1085326321.0,Vinith,,,,,,,,,,,,,,,,,,https://twitter.com/kelvin_orton_F,snscrape.modules.twitter.Coordinates,101.4761877,2.9745362,snscrape.modules.twitter.Place,"Damansara, Selangor",Damansara,city,Malaysia,MY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/tgwtst/status/1430581648068775936,2021-08-25T17:23:38+00:00,They can allow dine in but cant allow mamaks to be open 24/7....some Mee goreng mamak would be so good RN,They can allow dine in but cant allow mamaks to be open 24/7....some Mee goreng mamak would be so good RN,1430581648068775936,0,5,26,1,1430581648068775936,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,,,,,,,,,,snscrape.modules.twitter.User,tgwtst,1182193352,🏴Theguywiththestartattoo🏴,,,,False,2013-02-15T11:36:53+00:00,2079,852,93876,61740,8,10030,,False,https://www.instagram.com/theguywiththestartattoo/,https://t.co/VLh13WgI5Z,https://pbs.twimg.com/profile_images/1411301309865611272/ND7rdFj4_normal.jpg,https://pbs.twimg.com/profile_banners/1182193352/1582050828,https://twitter.com/tgwtst,,,,,,,,,,,,,,,,,,,,,,,snscrape.modules.twitter.Coordinates,101.4761877,2.9745362,snscrape.modules.twitter.Place,"Damansara, Selangor",Damansara,city,Malaysia,MY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/EhAyingg/status/1430558148625002497,2021-08-25T15:50:15+00:00,Grean tea sushi king. Rindunyaaaaaaa nak dine in !!!! https://t.co/u5ZfCrMcV8,Grean tea sushi king. Rindunyaaaaaaa nak dine in !!!! twitter.com/hanifmz/status…,1430558148625002497,0,0,0,0,1430558148625002497,in,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,['https://twitter.com/hanifmz/status/1430057621063573506'],['https://t.co/u5ZfCrMcV8'],,,,,,,,snscrape.modules.twitter.User,EhAyingg,309746437,Nur 🇲🇾🌼🇵🇸,kuat nangis 😟,kuat nangis 😟,,False,2011-06-02T16:07:45+00:00,649,420,48322,6531,0,811,🇲🇾,False,,,https://pbs.twimg.com/profile_images/1403682382352322566/UXum2Vz2_normal.jpg,https://pbs.twimg.com/profile_banners/309746437/1591926780,https://twitter.com/EhAyingg,,,,,,,,,,,,,,,,,,,,,,,snscrape.modules.twitter.Coordinates,101.7180352,2.8662593,snscrape.modules.twitter.Place,"Ulu Langat, Selangor",Ulu Langat,admin,Malaysia,MY,,snscrape.modules.twitter.Tweet,https://twitter.com/hanifmz/status/1430057621063573506,2021-08-24T06:41:20+00:00,Tu bukan tea lover. Tu sugar lover. 😂😂😂 https://t.co/XNDlpFXUzU,Tu bukan tea lover. Tu sugar lover. 😂😂😂 https://t.co/XNDlpFXUzU,1.4300576210635735e+18,snscrape.modules.twitter.User,hanifmz,295478389.0,hanifmz | ☕ | ???,20 Aug | Penang & Shah Alam | Degree in Construction Management | UiTM SI & Shah Alam | Boss to be | Coffee Lover | Married 💍,20 Aug | Penang & Shah Alam | Degree in Construction Management | UiTM SI & Shah Alam | Boss to be | Coffee Lover | Married 💍,,False,2011-05-09T03:15:46+00:00,3630.0,1077.0,70076.0,29329.0,9.0,3862.0,Shah Alam | Penang,False,https://vt.tiktok.com/ZSJk6KfHJ/,https://t.co/HMVLVYCTXM,https://pbs.twimg.com/profile_images/1375317287142481924/NmbOKhVv_normal.jpg,https://pbs.twimg.com/profile_banners/295478389/1619180008,https://twitter.com/hanifmz,193.0,16296.0,26055.0,2449.0,1.4300576210635735e+18,in,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,,,"[{'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/E9iV0qxVIAMLb9C?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/E9iV0qxVIAMLb9C?format=jpg&name=large'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/AffiqIzham/status/1430546486115192832,2021-08-25T15:03:55+00:00,"Bagus kedai makan shah alam, semua ikut sop. Check mysejahtera. Dua dose sahaja boleh dine in 👍🏻👍🏻👍🏻","Bagus kedai makan shah alam, semua ikut sop. Check mysejahtera. Dua dose sahaja boleh dine in 👍🏻👍🏻👍🏻",1430546486115192832,0,0,1,0,1430546486115192832,in,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,,,,,,,,,,snscrape.modules.twitter.User,AffiqIzham,59724537,affiq izham,wrongly mould 🦄,wrongly mould 🦄,,False,2009-07-24T08:04:26+00:00,859,574,30486,9741,2,600,Bukit Jalil,False,,,https://pbs.twimg.com/profile_images/1429264503380742144/dWRPgHtC_normal.jpg,https://pbs.twimg.com/profile_banners/59724537/1411842955,https://twitter.com/AffiqIzham,,,,,,,,,,,,,,,,,,,,,,,snscrape.modules.twitter.Coordinates,101.6459045,3.0332003,snscrape.modules.twitter.Place,"Petaling, Wilayah Persekutuan Kuala Lumpur",Petaling,city,Malaysia,MY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/aribahftn/status/1430514918009147400,2021-08-25T12:58:28+00:00,setelah sekian lama akhirnya boleh dine in https://t.co/7BktY7Kkrh,setelah sekian lama akhirnya boleh dine in https://t.co/7BktY7Kkrh,1430514918009147400,0,0,3,0,1430514918009147400,in,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,,,"[{'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/E9o1uSUVoAYKJs1?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/E9o1uSUVoAYKJs1?format=jpg&name=large'}]",,,,,,,snscrape.modules.twitter.User,aribahftn,636125825,aribah fatini,can life get easier?,can life get easier?,,False,2012-07-15T11:50:07+00:00,1302,1157,41516,4466,3,357,JB,False,http://Instagram.com/aribahftn,https://t.co/ogIWA1eol5,https://pbs.twimg.com/profile_images/1437805601849888771/dWbqIwgZ_normal.jpg,https://pbs.twimg.com/profile_banners/636125825/1630570799,https://twitter.com/aribahftn,,,,,,,,,,,,,,,,,,,,,,,snscrape.modules.twitter.Coordinates,101.773335,2.969363,snscrape.modules.twitter.Place,Mee Hiris China Muslim,Mee Hiris China Muslim,poi,Malaysia,MY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/izzaudinramle/status/1430503376937127942,2021-08-25T12:12:37+00:00,new zealand 1 kes dah tahu bahaya mcm mana. malaysia rilek 22k kes boleh dine in. malaysia boleh!,new zealand 1 kes dah tahu bahaya mcm mana. malaysia rilek 22k kes boleh dine in. malaysia boleh!,1430503376937127942,0,0,0,0,1430503376937127942,in,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,,,,,,,,,,snscrape.modules.twitter.User,izzaudinramle,366423654,Den,"semoga sorang izzaudin menjadi streamer, student & usahawan yang berjaya","semoga sorang izzaudin menjadi streamer, student & usahawan yang berjaya",,False,2011-09-02T04:31:50+00:00,624,477,43977,15486,0,729,"Gombak, Selangor",False,http://fb.gg/denxpected,https://t.co/QgonetspPz,https://pbs.twimg.com/profile_images/1181370839968567296/1qb8UZVw_normal.jpg,https://pbs.twimg.com/profile_banners/366423654/1595786802,https://twitter.com/izzaudinramle,,,,,,,,,,,,,,,,,,,,,,,snscrape.modules.twitter.Coordinates,101.4692072,3.3220592,snscrape.modules.twitter.Place,"Serendah, Selangor",Serendah,city,Malaysia,MY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/ananadiys/status/1430502180952240130,2021-08-25T12:07:52+00:00,@madisonisaa Miss you too nisa. You dah boleh dine in kan nisa,@madisonisaa Miss you too nisa. You dah boleh dine in kan nisa,1430502180952240130,1,0,0,0,1430406692328534018,in,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,,,,,,1.4304100781888348e+18,"[{'_type': 'snscrape.modules.twitter.User', 'username': 'madisonisaa', 'id': 787482623178268672, 'displayname': '𝒜 ♡ 🏴🏴🏴', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/madisonisaa'}]",,,snscrape.modules.twitter.User,ananadiys,3257155620,Ana Haris,"it might be stormy now, but it can’t rain forever","it might be stormy now, but it can’t rain forever",,False,2015-06-27T01:32:36+00:00,1140,339,35581,50035,1,548,"Shah Alam, Malaysia",False,,,https://pbs.twimg.com/profile_images/1429793748771246089/CAD4ApE__normal.jpg,https://pbs.twimg.com/profile_banners/3257155620/1630505966,https://twitter.com/ananadiys,snscrape.modules.twitter.User,madisonisaa,7.874826231782687e+17,𝒜 ♡ 🏴🏴🏴,,,,,,,,,,,,,,,,,,https://twitter.com/madisonisaa,snscrape.modules.twitter.Coordinates,101.4931721,3.0831207,snscrape.modules.twitter.Place,"Sungai Buloh, Selangor",Sungai Buloh,city,Malaysia,MY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/twt_Raziman/status/1430497577154138116,2021-08-25T11:49:34+00:00,Sushi king kt selangor tak bukak lg for dine in 🥲 first time aku takeaway sushi king sebab craving sangat https://t.co/56GT1YoWry,Sushi king kt selangor tak bukak lg for dine in 🥲 first time aku takeaway sushi king sebab craving sangat https://t.co/56GT1YoWry,1430497577154138116,0,0,2,0,1430497577154138116,in,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,,,"[{'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/E9ol9XoUcAIGrwx?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/E9ol9XoUcAIGrwx?format=jpg&name=large'}]",,,,,,,snscrape.modules.twitter.User,twt_Raziman,1657172407,Wan Raziman 🌈,24 🏳️‍🌈,24 🏳️‍🌈,,False,2013-08-09T07:23:05+00:00,413,435,19917,16859,3,1129,"Petaling, Selangor",False,http://instagram.com/wan_raziman,https://t.co/ey3ezOvGXx,https://pbs.twimg.com/profile_images/1434105719335251978/M-e_em6Q_normal.jpg,https://pbs.twimg.com/profile_banners/1657172407/1620910761,https://twitter.com/twt_Raziman,,,,,,,,,,,,,,,,,,,,,,,snscrape.modules.twitter.Coordinates,101.5767746,2.9796541,snscrape.modules.twitter.Place,"Petaling, Selangor",Petaling,city,Malaysia,MY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/heeyydiii/status/1430453812825780226,2021-08-25T08:55:40+00:00,@4syqqn dapat keluar / dine selepas fully vaccinated = 14 hari selepas 2nd dose,@4syqqn dapat keluar / dine selepas fully vaccinated = 14 hari selepas 2nd dose,1430453812825780226,1,0,0,0,1430452204784164866,in,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,,,,,,1.4304522047841649e+18,"[{'_type': 'snscrape.modules.twitter.User', 'username': '4syqqn', 'id': 764410632988798976, 'displayname': 'Eqïn 🌱', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/4syqqn'}]",,,snscrape.modules.twitter.User,heeyydiii,2199408822,Hadi Haris,"KBR - KUL | 
Selenophile #GGMU #RedGiants #HalaMadrid  AS 🌸","KBR - KUL | 
Selenophile #GGMU #RedGiants #HalaMadrid  AS 🌸",,False,2013-11-17T12:05:02+00:00,1359,2894,64947,43100,5,1431,Hogwarts University,False,,,https://pbs.twimg.com/profile_images/1347132826123083777/5RAqFdEO_normal.jpg,https://pbs.twimg.com/profile_banners/2199408822/1630817846,https://twitter.com/heeyydiii,snscrape.modules.twitter.User,4syqqn,7.64410632988799e+17,Eqïn 🌱,,,,,,,,,,,,,,,,,,https://twitter.com/4syqqn,snscrape.modules.twitter.Coordinates,101.1980484,2.8838134,snscrape.modules.twitter.Place,"Kelang, Selangor",Kelang,admin,Malaysia,MY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/anuarOtm/status/1430452488012931073,2021-08-25T08:50:24+00:00,Yang ada anak2 kecik tu tolonglah tahan dulu daripada keluar jalan2 pergi dine in semua. X payah dengki dgn org keluar makn kat kedai. Kalau anak korang kene covid sape yg nk dengki dgn korang agak2?,Yang ada anak2 kecik tu tolonglah tahan dulu daripada keluar jalan2 pergi dine in semua. X payah dengki dgn org keluar makn kat kedai. Kalau anak korang kene covid sape yg nk dengki dgn korang agak2?,1430452488012931073,1,0,0,0,1430452488012931073,in,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,,,,,,,,,,snscrape.modules.twitter.User,anuarOtm,155852279,AnuarOtm,Freelance emcee for wedding and corporate events. Home chef untuk tekak sendiri.  IG & FB: anuarotm 😷,Freelance emcee for wedding and corporate events. Home chef untuk tekak sendiri.  IG & FB: anuarotm 😷,,False,2010-06-15T09:41:13+00:00,316,175,12300,655,8,118,Bangsar South ,False,,,https://pbs.twimg.com/profile_images/1043228843987820544/Jjw23ZCW_normal.jpg,https://pbs.twimg.com/profile_banners/155852279/1537560114,https://twitter.com/anuarOtm,,,,,,,,,,,,,,,,,,,,,,,snscrape.modules.twitter.Coordinates,101.7311096,3.1498865,snscrape.modules.twitter.Place,"Ulu Kelang, Selangor",Ulu Kelang,city,Malaysia,MY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/Fadlan_Mazlan/status/1430447226191433736,2021-08-25T08:29:29+00:00,@ZakeeHasan @AkmalFarhaann Saya sudah lama boleh dine in.. anda bile lagi?,@ZakeeHasan @AkmalFarhaann Saya sudah lama boleh dine in.. anda bile lagi?,1430447226191433736,1,0,0,0,1430396238868869121,in,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,,,,,,1.4304008937913426e+18,"[{'_type': 'snscrape.modules.twitter.User', 'username': 'ZakeeHasan', 'id': 1240541330, 'displayname': 'kee 🇲🇾', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/ZakeeHasan'}, {'_type': 'snscrape.modules.twitter.User', 'username': 'AkmalFarhaann', 'id': 462683344, 'displayname': 'akmalfarhan', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/AkmalFarhaann'}]",,,snscrape.modules.twitter.User,Fadlan_Mazlan,250962730,eff.emm,~fm~MetallugicaL~ UniMAP~ IG: fadlan.mazlan ~,~fm~MetallugicaL~ UniMAP~ IG: fadlan.mazlan ~,,False,2011-02-12T04:41:27+00:00,603,427,32735,6351,2,134,Selangor,False,,,https://pbs.twimg.com/profile_images/1052262305092628480/orFNjfGN_normal.jpg,https://pbs.twimg.com/profile_banners/250962730/1466920847,https://twitter.com/Fadlan_Mazlan,snscrape.modules.twitter.User,ZakeeHasan,1240541330.0,kee 🇲🇾,,,,,,,,,,,,,,,,,,https://twitter.com/ZakeeHasan,snscrape.modules.twitter.Coordinates,101.3068894,3.0344953,snscrape.modules.twitter.Place,"Kapar, Selangor",Kapar,city,Malaysia,MY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/adzra/status/1430444789527314442,2021-08-25T08:19:48+00:00,@KLCCElevators Dah boleh dine in ke,@KLCCElevators Dah boleh dine in ke,1430444789527314442,1,0,0,0,1430419334879346691,in,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,,,,,,1.4304193348793467e+18,"[{'_type': 'snscrape.modules.twitter.User', 'username': 'KLCCElevators', 'id': 1250998254, 'displayname': 'KLCC Elevators', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/KLCCElevators'}]",,,snscrape.modules.twitter.User,adzra,25921247,ǟɖʐʀǟʐɛռɛƈǟ,"I am at this point of my life that if something is not making me happy, making me better or making me money, then I just don't have time for it. Sorry 🤷🏻‍♀️","I am at this point of my life that if something is not making me happy, making me better or making me money, then I just don't have time for it. Sorry 🤷🏻‍♀️",,False,2009-03-23T01:00:50+00:00,1355,956,158705,14852,16,12427,Kuala Lumpur,False,http://instagram.com/duchessofsemantan#,https://t.co/rYFqUtqrX2,https://pbs.twimg.com/profile_images/1368256657713557504/rCU9528o_normal.jpg,https://pbs.twimg.com/profile_banners/25921247/1613883244,https://twitter.com/adzra,snscrape.modules.twitter.User,KLCCElevators,1250998254.0,KLCC Elevators,,,,,,,,,,,,,,,,,,https://twitter.com/KLCCElevators,snscrape.modules.twitter.Coordinates,101.7017441,3.2129372,snscrape.modules.twitter.Place,"Setapak, Selangor",Setapak,city,Malaysia,MY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
